File Name,Step #,Person-in-charge,Step,Next Step / Reference
,2.6.1.7,Client,"If yes, Sends requested Docs & Information.",2.6.2
,2.6.1.8,Sales Executive,"If no, Follow up with Client on list of documents.",2.6.1.6
,2.6.2,[N/A],STAGE 2.6.2: OBTAIN CORP PASS ACCESS,2.6.2.1
,2.6.2.1,Admin,Has Client registered a company?,"2.6.2.2, 2.6.2.5"
,2.6.2.2,Admin,"If yes, Request Client to add MD on Client's Corp Pass.",2.6.2.3
,2.6.2.3,Client,Does Client know how to add?,"2.6.2.4, 2.6.2.6"
,2.6.2.4,Client,"If yes, Add MD on Corp Pass.",2.6.3
,2.6.2.5,Admin,"If no, Where client has not registered a company, Dyson will then make the application to NEA directly in MD's name.",2.6.3
,2.6.2.6,Admin,"If no, Help Client to add MD on Client's Corp Pass at client's site (Must be done face-to-face with client for PDPA compliance).",2.6.3
,2.6.3,[N/A],STAGE 2.6.3: PREPARE BUSINESS PLAN FOR REGULATORY COMPLIANCE,2.6.3.1
,2.6.3.1,Admin,Review received documents & information (Information Required: Business Plan/Concept).,2.6.3.2
,2.6.3.2,Admin,"Edits Business Plan for compliance with NEA's requirements (Note: If guidance is required, Admin is able to offer).",2.6.3.3
,2.6.3.3,Admin,Send edited Business Plan to MD for review & approval.,2.6.3.4
,2.6.3.4,Managing Director,Receives edited Business Plan.,2.6.3.5
,2.6.3.5,Managing Director,Reviews edited Business Plan.,2.6.3.6
,2.6.3.6,Managing Director,Is edited Business Plan approved?,"2.6.3.7, 2.6.3.8"
,2.6.3.7,Sales Executive,"If yes, Sends revised/edited Business Plan to client for approval.",2.6.4
,2.6.3.8,Managing Director,"If no, Gives SE comments on edited Business Plan.",2.6.3.9
,2.6.3.9,Admin,Takes in MD's comments and revises Business Plan.,2.6.3.3
,2.6.4,[N/A],STAGE 2.6.4: SUBMISSION ON NEA,2.6.4.1
,2.6.4.1,Admin,Log onto NEA (https://www.eportal.nea.gov.sg/).,2.6.4.2
,2.6.4.2,Admin,Request OTP from MD.,2.6.4.3
,2.6.4.3,Managing Director,Send OTP.,2.6.4.4
,2.6.4.4,Admin,Receive OTP.,2.6.4.5
,2.6.4.5,Admin,Prepare Draft Submission (& attach documents).,2.6.4.6
,2.6.4.6,Admin,Verify details of Draft Submission.,2.6.4.7
,2.6.4.7,Admin,Print/ Screenshot Summary & attachments.,2.6.4.8
,2.6.4.8,Admin,Submit on NEA.,2.6.4.9
,2.6.4.9,Admin,Print acknowledgment of submission.,2.6.4.10
,2.6.4.10,Admin,File printed Summary & attachments & acknowledgement.,3.7.1
2.7 Project Kickoff - HSA,2.7.1,[N/A],STAGE 2.7.1: CONNECT STAKEHOLDERS,2.7.1.1
,2.7.1.1,Sales Executive,Create Group Chat & add all stakeholders.,2.7.1.2
,2.7.1.2,Sales Executive,"Sends list of required docs in Client Group Chat (Information needed for LoA: ACRA, NRIC of Director, Contact Number, Email. Other information needed: Tenancy Agreement, Layout plan, Photos of Premises (shopfront), Photos of Premises (places to keep tobacco)).",2.7.2.1
,2.7.2,[N/A],STAGE 2.7.2: OBTAIN CORP PASS ACCESS,2.7.2.1
,2.7.2.1,Admin,Request Client to add MD on Client's Corp Pass.,2.7.2.2
,2.7.2.2,Client,Does Client know how to add?,"2.7.2.3, 2.7.2.4"
,2.7.2.3,Client,"If yes, Add MD on Corp Pass.",2.7.1.3
,2.7.2.4,Admin,"If no, Help Client to add MD on Client's Corp Pass.",2.7.1.3
,2.7.1.3,Sales Executive,Has Client given the necessary documents?,"2.7.1.4, 2.7.1.5"
,2.7.1.4,Client,"If yes, Sends requested Docs & Information (Note: If client has paid).","2.7.3, 2.7.4"
,2.7.1.5,Sales Executive,"If no, Follow up with Client on list of documents.",2.7.1.3
,2.7.3,[N/A],STAGE 2.7.3: PREPARE LETTER OF AUTHORISATION,2.7.3.1
,2.7.3.1,Admin,"Review received documents & information (Information Required: ACRA, NRIC of Director, Contact Number, Email).",2.7.3.2
,2.7.3.2,Admin,Prepare Letter of Authorisation (LoA) in MD's name.,2.7.3.3
,2.7.3.3,Admin,Send LoA to client for execution.,2.7.3.4
,2.7.3.4,Client,Executes LoA.,2.7.3.5
,2.7.3.5,Client,Sends executed LoA to Admin.,2.7.3.6
,2.7.3.6,Admin,Receives LoA.,2.7.5
,2.7.4,[N/A],STAGE 2.7.4: REVIEW LAYOUT FOR REGULATORY COMPLIANCE,2.7.4.1
,2.7.4.1,Admin,"Review received documents & information (Information Required: Tenancy Agreement, Layout Plan, Photos of Premises (shopfront), Photos of Premises (Photos of places to keep the tobacco)).",2.7.4.2
,2.7.4.2,Admin,Review Layout Plan.,2.7.4.3
,2.7.4.3,Admin,Is Layout Plan compliant with HSA's requirements?,"2.7.5, 2.7.4.4"
,2.7.4.4,Admin,"If no, Edit Layout Plan.",2.7.4.5
,2.7.4.5,Admin,Send edited Layout Plan to SE to forward client for review & approval.,2.7.4.6
,2.7.4.6,Sales Executive,Receives edited Layout Plan and forwards to client.,2.7.4.7
,2.7.4.7,Client,Receives edited Layout Plan.,2.7.4.8
,2.7.4.8,Client,Reviews edited Layout Plan.,2.7.4.9
,2.7.4.9,Client,Is edited Layout Plan approved?,"2.7.4.10, 2.7.4.12"
,2.7.4.10,Sales Executive,"If yes, Informs PM of approval.",2.7.4.11
,2.7.4.11,Project Manager,Sends to Admin for Submission.,2.7.5
,2.7.4.12,Client,"If no, Gives Sales Executive comments on edited Layout Plan.",2.7.4.13
,2.7.4.13,Sales Executive,Takes in Client's comments and revises Layout Plan.,2.7.4.4
,2.7.5,[N/A],STAGE 2.7.5: SUBMISSION ON GO BUSINESS,2.7.5.1
,2.7.5.1,Admin,Log onto Go Business (https://www.gobusiness.gov.sg/#).,2.7.5.2
,2.7.5.2,Admin,Request OTP from MD.,2.7.5.3
,2.7.5.3,Managing Director,Send OTP.,2.7.5.4
,2.7.5.4,Admin,Receive OTP.,2.7.5.5
,2.7.5.5,Admin,Prepare Draft Submission (& attach documents).,2.7.5.6
,2.7.5.6,Admin,Verify details of Draft Submission.,2.7.5.7
,2.7.5.7,Admin,Print/ Screenshot Summary & attachments.,2.7.5.8
,2.7.5.8,Admin,Submit on Go Business.,2.7.5.9
,2.7.5.9,Admin,Make Payment.,2.7.5.10
,2.7.5.10,Admin,Print acknowledgment of submission.,2.7.5.11
,2.7.5.11,Admin,File printed Summary & attachments & acknowledgement.,3.7
2.8 Project Kickoff - JTC,2.8.1,[N/A],STAGE 2.8.1: CONNECT STAKEHOLDERS,2.8.1.1
,2.8.1.1,Sales Executive,Create Group Chat & add all stakeholders (LANDLORD NOT INCLUDED).,2.8.1.2
,2.8.1.2,Sales Executive,"Sends list of required docs in Client Group Chat (Requested Information: Layout plan, Photos of the premises, if possible, Landlord's NRIC, Landlord Contact Number, Landlord Email, ACRA, NRIC of Director, Director's Contact Number, Director's Email).",2.8.1.3
,2.8.1.3,Client,Has Client given the necessary documents?,"2.8.1.4, 2.8.1.5"
,2.8.1.4,Client,"If yes, Sends requested Docs & Information.","2.8.2, 2.8.3"
,2.8.1.5,Sales Executive,"If no, Follow up with Client on list of documents.",2.8.1.3
,2.8.2,[N/A],STAGE 2.8.2: PREPARE LETTER OF AUTHORISATION,2.8.2.1
,2.8.2.1,Sales Executive,"Review received documents & information (Information Required: ACRA, NRIC of Director, Contact Number, Email).",2.8.2.2
,2.8.2.2,Sales Executive,Prepare Letter of Authorisation (LoA).,2.8.2.3
,2.8.2.3,Sales Executive,Send LoA to client for execution.,2.8.2.4
,2.8.2.4,Client,Executes LoA.,2.8.2.5
,2.8.2.5,Client,Sends executed LoA to SE.,2.8.2.6
,2.8.2.6,Sales Executive,Receives executed LoA.,2.8.2.7
,2.8.2.7,Sales Executive,Send to Admin.,2.8.4
,2.8.3,[N/A],STAGE 2.8.3: PREPARE FLOORPLAN FOR REGULATORY COMPLIANCE,2.8.3.1
,2.8.3.1,Project Manager,Review received documents & information (Information Required: Layout Plan. Review for Compliance: 1. 60:40 ratio maintained for main & ancilliary business respectively. a. 60% for seating and 40% for food preparation. b. 60% for warehousing/40% for office use. 2. Fire Safety (SCDF): a. Enrichment Centres: desired number of rooms. b. Clear escape route of 1.2m width).,2.8.3.2
,2.8.3.2,Project Manager,Draft advice on possible non-compliance and revisions needed for SE to inform client.,2.8.3.3
,2.8.3.3,Sales Executive,Forward advice to client on possible non-compliance and revisions needed.,2.8.3.4
,2.8.3.4,Client,Accept proposed suggestions/revisions to floorplan.,2.8.3.5
,2.8.3.5,Sales Executive,Informs PM.,2.8.3.6
,2.8.3.6,Project Manager,Instructs Freelancers on revisions.,2.8.3.7
,2.8.3.7,Freelancers,Receives instructions.,2.8.3.8
,2.8.3.8,Freelancers,Edit BP.,2.8.3.9
,2.8.3.9,Freelancers,Send PM.,2.8.3.10
,2.8.3.10,Project Manager,Receives revised Floorplan.,2.8.3.11
,2.8.3.11,Project Manager,Send to SE to forward to client for approval.,2.8.3.12
,2.8.3.12,Sales Executive,Send revised Floorplan to client for approval.,2.8.3.13
,2.8.3.13,Client,Receive detailed drawings of Floorplan.,2.8.3.14
,2.8.3.14,Client,Does client approve the detailed drawings?,"2.8.4, 2.8.3.15"
,2.8.3.15,Project Manager,"If no, Collate Client's comments & revisions.",2.8.3.16
,2.8.3.16,Project Manager,Revise Building Plan (BP).,2.8.3.17
,2.8.3.17,Project Manager,Instructs Freelancers on revisions.,2.8.3.18
,2.8.3.18,Freelancers,Receives instructions.,2.8.3.19
,2.8.3.19,Freelancers,Edit Floorplan.,2.8.3.20
,2.8.3.20,Freelancers,Send PM.,2.8.3.21
,2.8.3.21,Project Manager,Receives revised Floorplan.,2.8.4
,2.8.4,[N/A],STAGE 2.8.4: OBTAIN NECESSARY ENDORSEMENTS FROM CIVIL ENGINEER,2.8.4.1
,2.8.4.1,Admin,Log onto Corenet (https://www.corenet.gov.sg/corenet/eSS/SoftwareDownloads/index.htm).,2.8.4.2
,2.8.4.2,Admin,Request OTP from MD.,2.8.4.3
,2.8.4.3,Managing Director,Send OTP.,2.8.4.4
,2.8.4.4,Admin,Receive OTP.,2.8.4.5
,2.8.4.5,Admin,Download JTC Form.,2.8.4.6
,2.8.4.6,Admin,Fill up JTC Form.,2.8.4.7
,2.8.4.7,Admin,Send JTC Form to SE for client's signing.,2.8.4.8
,2.8.4.8,Sales Executive,Receive JTC Form & send to client.,2.8.4.9
,2.8.4.9,Client,Receive JTC Form.,2.8.4.10
,2.8.4.10,Client,Signs JTC Form.,2.8.4.11
,2.8.4.11,Client,Sends signed JTC Form to SE.,2.8.4.12
,2.8.4.12,Sales Executive,Receive signed JTC Form & send to PM.,2.8.4.13
,2.8.4.13,Project Manager,Send signed JTC Form to PE for endorsement.,2.8.4.14
,2.8.4.14,Project Manager,Collate signed JTC Form & Revised Floorplan from Freelancers.,2.8.4.15
,2.8.4.15,Project Manager,Send consolidated documents to PE for endorsement.,2.8.4.16
,2.8.4.16,Civil Engineer,Receives consolidated documents.,2.8.4.17
,2.8.4.17,Civil Engineer,Endorses consolidated documents.,2.8.4.18
,2.8.4.18,Civil Engineer,Sends to PM.,2.8.4.19
,2.8.4.19,Project Manager,Receives endorsed consolidated documents.,2.8.45
,2.8.45,[N/A],STAGE 2.8.45: SUBMISSION ON CORENET SG,2.8.45.1
,2.8.45.1,Admin,Prepare Draft Submission.,2.8.45.2
,2.8.45.2,Admin,Verify details of Draft Submission.,2.8.45.3
,2.8.45.3,Admin,Print Summary & attachments.,2.8.45.4
,2.8.45.4,Admin,Submit on Corenet SG (https://www.corenet.gov.sg/corenet/eSS/SoftwareDownloads/index.htm).,2.8.45.5
,2.8.45.5,Admin,Print acknowledgment of submission.,2.8.45.6
,2.8.45.6,Admin,File printed Summary & attachments.,3.8
3.1 Post-Submission to Project Completion - SFA,3.1.1,[N/A],STAGE 3.1.1: RECEIVE REGULATORY NOTIFICATION,3.1.1.1
,3.1.1.1,Singapore Food Agency,SPF issues In-Principal Approval (IPA).,3.1.1.2
,3.1.1.2,Admin,Receives IPA.,3.1.1.3
,3.1.1.3,Client,Receives IPA.,3.1.2.1
,3.1.2,[N/A],STAGE 3.1.2: COORDINATE ON RESPONSE TO REGULATORY NOTIFICATIONS,3.1.2.1
,3.1.2.1,Client,Sends IPA to SE.,3.1.2.2
,3.1.2.2,Sales Executive,Receives IPA.,3.1.2.3
,3.1.2.3,Sales Executive,Forward IPA to Admin (via General Email).,3.1.2.4
,3.1.2.4,Admin,Review IPA.,3.1.2.5
,3.1.2.5,Admin,Requests documentation / status update on renovation from client.,3.1.2.6
,3.1.2.6,Client,Sends Admin documentation / status update on renovation.,3.1.3.1
,3.1.3,[N/A],STAGE 3.1.3: RESPOND TO REGULATORY NOTIFICATION,3.1.3.1
,3.1.3.1,Admin,Receives information/ documentation/ clarification from client.,3.1.3.2
,3.1.3.2,Admin,Is premise ready for inspection by SFA?,"3.1.3.5, 3.1.3.3"
,3.1.3.3,Sales Executive,"If no, Check in on work schedule.",3.1.3.4
,3.1.3.4,Client,Updates SE on work schedule.,3.1.3.1
,3.1.3.5,Admin,"If yes, Log in to iFast.",3.1.3.6
,3.1.3.6,Admin,Request OTP from MD.,3.1.4.1
,3.1.4,[N/A],STAGE 3.1.4: COORDINATE AND SECURE INSPECTION DATE WITH SFA,3.1.4.1
,3.1.4.1,Managing Director,Send OTP.,3.1.4.2
,3.1.4.2,Admin,Receive OTP.,3.1.4.3
,3.1.4.3,Admin,Check available inspection dates in the Portal.,3.1.4.4
,3.1.4.4,Admin,Check SE's availability and get SE to check on Client's respective availability.,3.1.4.5
,3.1.4.5,Sales Executive,Check with Client on availability.,3.1.4.6
,3.1.4.6,Client,Inform SE on availability.,3.1.4.7
,3.1.4.7,Sales Executive,Inform Admin on both SE and Client's availability.,3.1.4.8
,3.1.4.8,Admin,Book inspection date based on MD's and Client's respective availability.,3.1.4.9
,3.1.4.9,Singapore Food Agency,Issues confirmation on inspection date.,3.1.5.1
,3.1.5,[N/A],STAGE 3.1.5: UPDATE CLIENT ON INSPECTION DATE AND TIMING,3.1.5.1
,3.1.5.1,Sales Executive,Receives confirmation on inspection date.,3.1.5.2
,3.1.5.2,Sales Executive,Informs client on confirmation of inspection date.,3.1.5.3
,3.1.5.3,Singapore Food Agency,Contacts SE to confirm time of inspection (1 day before inspection date).,3.1.5.4
,3.1.5.4,Sales Executive,Informs client on confirmation of inspection timing.,3.1.6.1
,3.1.6,[N/A],STAGE 3.1.6: FACILITATE SITE INSPECTION,3.1.6.1
,3.1.6.1,Sales Executive,Facilitate Site Inspection via Zoom (on Inspection Day).,3.1.7.1
,3.1.7,[N/A],STAGE 3.1.7: RECEIVE NOTICE ON RECTIFICATIONS SOUGHT,3.1.7.1
,3.1.7.1,Singapore Food Agency,Is rectification required by SFA?,"3.1.7.2, 3.1.9.1"
,3.1.7.2,Singapore Food Agency,"If yes, Issue rectifications needed via email.",3.1.8.1
,3.1.8,[N/A],STAGE 3.1.8: COORDINATE & RESPOND TO RECTIFICATIONS SOUGHT,3.1.8.1
,3.1.8.1,Sales Executive,Receive SFA's notification.,3.1.8.2
,3.1.8.2,Sales Executive,Liaise with client/contractor on rectifications needed.,3.1.8.3
,3.1.8.3,Client,Carry out rectification works.,3.1.8.4
,3.1.8.4,Client,Send photos of rectification & documents to SE.,3.1.8.5
,3.1.8.5,Sales Executive,Review photos of rectification for sufficiency.,3.1.8.6
,3.1.8.6,Sales Executive,Are the photos & Docs sufficient to meet SFA's requirement?,"3.1.8.7, 3.1.8.14"
,3.1.8.7,Sales Executive,"If yes, Send photos & docs to Admin.",3.1.8.8
,3.1.8.8,Admin,Receive photos of rectification & documents.,3.1.8.9
,3.1.8.9,Admin,"Prepare PPT slide/deck (Information to include in deck: Layout plan, Photos, Address, Application No).",3.1.8.10
,3.1.8.10,Admin,Reply SFA with PPT slide/deck.,3.1.8.11
,3.1.8.11,Singapore Food Agency,Receive PPT slide/deck.,3.1.8.12
,3.1.8.12,Singapore Food Agency,Is the PPT slide/deck sufficient to meet SFA's requirement?,"3.1.9.1, 3.1.8.13"
,3.1.8.13,Singapore Food Agency,"If no, Go to PG 4 of 8.",3.1.8.1
,3.1.8.14,Sales Executive,"If no, Go onsite to take photos of rectification / Request client to send additonal photos.",3.1.8.3
,3.1.9,[N/A],STAGE 3.1.9: RECEIVE APPROVAL BY AUTHORITIES AND GENERATE BALANCE INVOICE,3.1.9.1
,3.1.9.1,Singapore Food Agency,Issue Approval.,3.1.9.2
,3.1.9.2,Admin,Receive Approval.,3.1.9.3
,3.1.9.3,Admin,Create Balance Invoice.,3.1.9.4
,3.1.9.4,Admin,Send to Client.,3.1.9.5
,3.1.9.5,Client,Receive Balance Invoice.,3.1.9.6
,3.1.9.6,Sales Executive,Has client paid Balance Invoice?,"3.1.10.1, 3.1.9.7"
,3.1.9.7,Sales Executive,"If no, Follow up on payment.",3.1.9.6
,3.1.10,[N/A],STAGE 3.1.10: ATTEND TO PAYMENT TO SFA (AFTER RECEIPT OF CLIENT'S BALANCE PAYMENT),3.1.10.1
,3.1.10.1,Admin,Log onto Go Business SG (https://www.gobusiness.gov.sg/#).,3.1.10.2
,3.1.10.2,Admin,Request OTP from MD.,3.1.10.3
,3.1.10.3,Managing Director,Send OTP.,3.1.10.4
,3.1.10.4,Admin,Receive OTP.,3.1.10.5
,3.1.10.5,Admin,Make Payment.,3.1.11.1
,3.1.11,[N/A],STAGE 3.1.11: NOTIFY CLIENT OF APPROVAL,3.1.11.1
,3.1.11.1,Singapore Food Agency,Issues email approval to MD.,3.1.11.2
,3.1.11.2,Admin,Screenshots approval email.,3.1.11.3
,3.1.11.3,Admin,Notifies client on SFA approval.,3.1.11.4
,3.1.11.4,Client,Receives notification of SFA Approval.,3.1.12.1
,3.1.12,[N/A],STAGE 3.1.12: FRAMES LICENCE FOR CLIENT,3.1.12.1
,3.1.12.1,Admin,Prints out licence.,3.1.12.2
,3.1.12.2,Admin,Frames licence up in Dyson's frames.,3.1.12.3
,3.1.12.3,Admin,Passes framed licence to MD.,3.1.12.4
,3.1.12.4,Sales Executive,Pass framed licence to Client & take photos & get Client's consent to use photos for publicity (PDPA).,3.1.12.5
,3.1.12.5,Client,Receives licence.,END
3.2 Post-Submission to Project Completion - HDB,3.2.1,[N/A],STAGE 3.2.1: RECEIVE REGULATORY NOTIFICATION,3.2.1.1
,3.2.1.1,HDB,Issues Notification for rectification / further clarification.,3.2.1.2
,3.2.1.2,Admin,Receives Notification (To-Be: Creation of General Email Account for receipt of Notifications).,3.2.2.1
,3.2.2,[N/A],STAGE 3.2.2: COORDINATE & RESPOND TO QUERIES/ RECTIFICATIONS,3.2.2.1
,3.2.2.1,Admin,Respond to HDB's queries & rectifications (email / HDB feedback link).,3.2.2.2
,3.2.2.2,Admin,Print submissions & attachments.,3.2.2.3
,3.2.2.3,Admin,File submissions.,3.2.2.4
,3.2.2.4,HDB,Is response / rectifications acceptable?,"3.2.3.1, 3.2.1.2"
,3.2.3,[N/A],STAGE 3.2.3: RECEIVE ACCEPTANCE BY AUTHORITIES,3.2.3.1
,3.2.3.1,HDB,Issues Approval (general email).,3.2.3.2
,3.2.3.2,Admin,Receives Approval.,3.2.4.1
,3.2.4,[N/A],STAGE 3.2.4: GENERATE BALANCE INVOICE,3.2.4.1
,3.2.4.1,Admin,Create Balance Invoice.,3.2.4.2
,3.2.4.2,Admin,Send to Client.,3.2.4.3
,3.2.4.3,Client,Receive Balance Invoice.,3.2.4.4
,3.2.4.4,Sales Executive,Has client paid Balance Invoice?,"3.2.5.1, 3.2.4.5"
,3.2.4.5,Sales Executive,"If no, Follow up on payment.",3.2.4.4
,3.2.5,[N/A],STAGE 3.2.5: NOTIFY CLIENT OF APPROVAL,3.2.5.1
,3.2.5.1,Sales Executive,Sends Notice of Approval to client.,3.2.5.2
,3.2.5.2,Client,Receives Notice of Approval.,END
3.3 Post-Submission to Project Completion - URA,3.3.1,[N/A],STAGE 3.3.1: RECEIVE REGULATORY NOTIFICATION,3.3.1.1
,3.3.1.1,Urban Redevelopment Authority,Issues comments & rectifications required for compliance.,3.3.1.2
,3.3.1.2,Urban Redevelopment Authority,Changes sought:,"BUSINESS PLAN: 3.3.2.1, FLOOR PLAN: 3.3.2.8"
,3.3.2,[N/A],STAGE 3.3.2: COORDINATE ON RESPONSE TO REGULATORY NOTIFICATION,"3.3.2.1, 3.3.2.8"
,3.3.2.1,Sales Executive,Request required docs from client to address URA's comments.,3.3.2.2
,3.3.2.2,Client,Sends docs to SE.,3.3.2.3
,3.3.2.3,Sales Executive,Receives client's docs / instructions.,3.3.2.4
,3.3.2.4,Sales Executive,Edit Business Plan.,3.3.2.5
,3.3.2.5,Sales Executive,Send edited Business Plan to MD for final review.,3.3.2.6
,3.3.2.6,Managing Director,Approves Business Plan.,3.3.2.7
,3.3.2.7,Sales Executive,Send approved Business Plan to Admin for submission.,3.3.3.1
,3.3.2.8,Project Manager,Revise floor plan as required by URA.,3.3.2.9
,3.3.2.9,Project Manager,Send revised floor plan to client for approval.,3.3.2.10
,3.3.2.10,Client,Are revision accepted by client?,"YES: 3.3.2.13, NO: 3.3.2.11"
,3.3.2.11,Client,"If no, Gives comments.",3.3.2.12
,3.3.2.12,Project Manager,Takes in Comments.,3.3.2.8
,3.3.2.13,Client,"If yes, Gives approval.",3.3.2.14
,3.3.2.14,Project Manager,Sends approved floor plan to Admin.,3.3.3.1
,3.3.3,[N/A],STAGE 3.3.3: RESPOND TO REGULATORY NOTIFICATION,3.3.3.1
,3.3.3.1,Admin,Consolidates all documents for response to URA.,3.3.3.2
,3.3.3.2,Admin,"Resubmit to URA (via portal or email, depending on officer).","Via Portal: 3.3.3.4, Via Email: 3.3.3.3"
,3.3.3.3,Admin,Admin Send documents via email.,3.3.4.1
,3.3.3.4,Admin,Log onto Go Business SG (https://www.gobusiness.gov.sg/#).,3.3.3.5
,3.3.3.5,Admin,Request OTP from MD (2 OTPs needed).,3.3.3.6
,3.3.3.6,Managing Director,Send OTP.,3.3.3.7
,3.3.3.7,Admin,Receive OTP.,3.3.3.8
,3.3.3.8,Admin,Prepare Draft Submission.,3.3.3.9
,3.3.3.9,Admin,Verify details of Draft Submission.,3.3.3.10
,3.3.3.10,Admin,Print Summary & attachments.,3.3.3.11
,3.3.3.11,Admin,Submit on Go Business SG.,3.3.3.12
,3.3.3.12,Admin,Print acknowledgment of submission.,3.3.3.13
,3.3.3.13,Admin,File printed Summary & attachments.,3.3.4.1
,3.3.4,[N/A],STAGE 3.3.4: COORDINATION BETWEEN URA & SLA ON LAND BETTERMENT CHARGES,3.3.4.1
,3.3.4.1,Urban Redevelopment Authority,Receives resubmission.,3.3.4.2
,3.3.4.2,Urban Redevelopment Authority,"Conducts further checks with SLA on Land Betterment Charge, if any.",3.3.4.3
,3.3.4.3,Singapore Land Authority,Receives URA's enquiry on Land Betterment Charges.,3.3.4.4
,3.3.4.4,Singapore Land Authority,Informs URA if Land Betterment Charges are applicable or not.,"if LBC is required: 3.3.5.1, if LBC is NOT required: 3.3.7.1"
,3.3.5,[N/A],STAGE 3.3.5: COORDINATION WITH AUTHORITIES ON URA'S PROVISIONAL PERMISSION & COORDINATE WITH CLIENT ON PAYMENT,3.3.5.1
,3.3.5.1,Urban Redevelopment Authority,Issues Provisional Permission & contact of Officer at SLA.,3.3.5.2
,3.3.5.2,Admin,Emails SLA (attach URA's Provisional Permission).,3.3.5.3
,3.3.5.3,Singapore Land Authority,Receive URA's Provisional Permission from Applicant (via Admin).,3.3.5.4
,3.3.5.4,Singapore Land Authority,Computes Land Betterment Charges.,3.3.5.5
,3.3.5.5,Singapore Land Authority,Issues Form to Dyson for applicant's completion.,3.3.5.6
,3.3.5.6,Admin,Receives draft Form from SLA.,3.3.5.7
,3.3.5.7,Admin,Fills up draft From and send to SE.,3.3.5.8
,3.3.5.8,Sales Executive,Sends to Client for approval & execution.,3.3.5.9
,3.3.5.9,Client,Receives draft Form.,3.3.5.10
,3.3.5.10,Client,Signs Form.,3.3.5.11
,3.3.5.11,Client,Send SE signed Form.,3.3.5.12
,3.3.5.12,Sales Executive,Received signed Form.,3.3.5.13
,3.3.5.13,Sales Executive,Send signed Form to Admin.,3.3.5.14
,3.3.5.14,Admin,Emails SLA with signed Form.,3.3.5.15
,3.3.5.15,Singapore Land Authority,Issues Payment Instructions.,3.3.5.16
,3.3.5.16,Admin,Receives Payment Instructions.,3.3.5.17
,3.3.5.17,Admin,Instructs client on Payment Instructions.,3.3.5.18
,3.3.5.18,Client,Receives Payment Instructions.,3.3.5.19
,3.3.5.19,Client,Makes Payment to SLA.,3.3.5.20
,3.3.5.20,Client,Sends screenshot of payment to Dyson.,3.3.5.21
,3.3.5.21,Sales Executive,Receives screenshot of payment.,3.3.5.22
,3.3.5.22,Sales Executive,Sends screenshot of payment to Admin.,3.3.5.23
,3.3.5.23,Admin,Sends screenshot of payment to SLA.,3.3.5.24
,3.3.5.24,Singapore Land Authority,Receives screenshot of payment.,3.3.6.1
,3.3.6,[N/A],STAGE 3.3.6: COORDINATION WITH AUTHORITIES ON SLA'S OFFICIAL PAYMENT RECEIPT,3.3.6.1
,3.3.6.1,Singapore Land Authority,Issues Official Payment Receipt.,3.3.6.2
,3.3.6.2,Admin,Receives Official Payment Receipt from SLA.,3.3.6.3
,3.3.6.3,Admin,Emails URA with SLA's Official Payment Receipt attached.,3.3.6.4
,3.3.6.4,Urban Redevelopment Authority,Receives SLA's Official Payment Receipt from Dyson.,3.3.7.1
,3.3.7,[N/A],STAGE 3.3.7: RECEIVE ACCEPTANCE BY AUTHORITIES,3.3.7.1
,3.3.7.1,Urban Redevelopment Authority,Issues Written Permission.,3.3.7.2
,3.3.7.2,Admin,Receives Written Permission from URA.,3.3.7.3
,3.3.7.3,Admin,Compile and send copy of Written Permission to SE.,3.3.8.1
,3.3.8,[N/A],STAGE 3.3.8: NOTIFY CLIENT OF APPROVAL,3.3.8.1
,3.3.8.1,Sales Executive,Receives Written Permission from Admin.,3.3.8.2
,3.3.8.2,Sales Executive,Send Client WP.,3.3.8.3
,3.3.8.3,Client,Receive Written Permission.,END
3.4 Post-Submission to Project Completion - SCDF,3.4.1,[N/A],STAGE 3.4.1: RECEIVE REGULATORY NOTIFICATION,3.4.1.1
,3.4.1.1,Singapore Civil Defence Force,Issues Acknowledgement to make payment.,3.4.1.2
,3.4.1.2,Admin,Receives Notification.,3.4.2.1
,3.4.2,[N/A],STAGE 3.4.2: RECEIVE NOTIFICATION OF PAYMENT BY AUTHORITIES AND ATTEND TO PAYMENT,3.4.2.1
,3.4.2.1,Admin,Commence payment process.,3.4.2.2
,3.4.2.2,Admin,Request Bank's OTP from MD.,3.4.2.3
,3.4.2.3,Managing Director,Send OTP.,3.4.2.4
,3.4.2.4,Admin,Complete payment.,3.4.2.5
,3.4.2.5,Admin,Print payment receipt.,3.4.2.6
,3.4.2.6,Admin,File payment receipt.,3.4.3.1
,3.4.3,[N/A],STAGE 3.4.3(A).1: COORDINATE ON RESPONSE TO AUDIT CHECK FINDINGS,3.4.3.1
,3.4.3.1,Singapore Civil Defence Force,Is an Audit Check required?,"YES: 3.4.3.2, NO: 3.4.4.1"
,3.4.3.2,Singapore Civil Defence Force,Issue Notification for Audit.,3.4.3.3
,3.4.3.3,Client,Receives Audit Check findings.,3.4.3.4
,3.4.3.4,Client,Is the Audit Check a plan / site check?,"PLAN CHECK: 3.4.3.5, SITE CHECK: 3.4.3.7"
,3.4.3.5,Sales Executive,Sends Audit Check findings to PM.,3.4.3.6
,3.4.3.6,Project Manager,Communicates issues raised by Audit Check findings to Vetter & RI.,3.4.3.12
,3.4.3.7,Sales Executive,Inform client.,3.4.3.8
